train-brain-experiment-01a.html:116 ---------------------------------------------------------
train-brain-experiment-01a.html:117 *** Started Learning using 120000 iterations ***
train-brain-experiment-01a.html:118 ---------------------------------------------------------
train-brain-experiment-01a.html:151 # iterations done: 74400, average Reward: 0.1375
train-brain-experiment-01a.html:151 # iterations done: 74800, average Reward: -0.005
train-brain-experiment-01a.html:151 # iterations done: 75200, average Reward: 0.0925
train-brain-experiment-01a.html:151 # iterations done: 75600, average Reward: 0.0325
train-brain-experiment-01a.html:151 # iterations done: 76000, average Reward: 0.07
train-brain-experiment-01a.html:151 # iterations done: 76400, average Reward: 0.025
train-brain-experiment-01a.html:151 # iterations done: 76800, average Reward: 0.0775
train-brain-experiment-01a.html:151 # iterations done: 77200, average Reward: 0.1225
train-brain-experiment-01a.html:151 # iterations done: 77600, average Reward: 0.2125
train-brain-experiment-01a.html:151 # iterations done: 78000, average Reward: 0.1075
train-brain-experiment-01a.html:151 # iterations done: 78400, average Reward: 0.1225
train-brain-experiment-01a.html:151 # iterations done: 78800, average Reward: 0.07
train-brain-experiment-01a.html:151 # iterations done: 79200, average Reward: 0.07
train-brain-experiment-01a.html:151 # iterations done: 79600, average Reward: 0.1525
train-brain-experiment-01a.html:151 # iterations done: 80000, average Reward: 0.04
train-brain-experiment-01a.html:151 # iterations done: 80400, average Reward: 0.22
train-brain-experiment-01a.html:151 # iterations done: 80800, average Reward: 0.1075
train-brain-experiment-01a.html:151 # iterations done: 81200, average Reward: 0.025
train-brain-experiment-01a.html:151 # iterations done: 81600, average Reward: 0.22
train-brain-experiment-01a.html:151 # iterations done: 82000, average Reward: 0.1825
train-brain-experiment-01a.html:151 # iterations done: 82400, average Reward: 0.1
train-brain-experiment-01a.html:151 # iterations done: 82800, average Reward: 0.1375
train-brain-experiment-01a.html:151 # iterations done: 83200, average Reward: -0.005
train-brain-experiment-01a.html:151 # iterations done: 83600, average Reward: 0.205
train-brain-experiment-01a.html:151 # iterations done: 84000, average Reward: 0.13
train-brain-experiment-01a.html:151 # iterations done: 84400, average Reward: 0.1825
train-brain-experiment-01a.html:151 # iterations done: 84800, average Reward: 0.2575
train-brain-experiment-01a.html:151 # iterations done: 85200, average Reward: 0.1525
train-brain-experiment-01a.html:151 # iterations done: 85600, average Reward: 0.0925
train-brain-experiment-01a.html:151 # iterations done: 86000, average Reward: 0.1975
train-brain-experiment-01a.html:151 # iterations done: 86400, average Reward: 0.2275
train-brain-experiment-01a.html:151 # iterations done: 86800, average Reward: 0.1225
train-brain-experiment-01a.html:151 # iterations done: 87200, average Reward: 0.16
train-brain-experiment-01a.html:151 # iterations done: 87600, average Reward: 0.13
train-brain-experiment-01a.html:151 # iterations done: 88000, average Reward: 0.1075
train-brain-experiment-01a.html:151 # iterations done: 88400, average Reward: 0.1975
train-brain-experiment-01a.html:151 # iterations done: 88800, average Reward: 0.07
train-brain-experiment-01a.html:151 # iterations done: 89200, average Reward: 0.16
train-brain-experiment-01a.html:151 # iterations done: 89600, average Reward: 0.1825
train-brain-experiment-01a.html:151 # iterations done: 90000, average Reward: 0.175
train-brain-experiment-01a.html:151 # iterations done: 90400, average Reward: 0.19
train-brain-experiment-01a.html:151 # iterations done: 90800, average Reward: 0.2275
train-brain-experiment-01a.html:151 # iterations done: 91200, average Reward: 0.1975
train-brain-experiment-01a.html:151 # iterations done: 91600, average Reward: 0.1525
train-brain-experiment-01a.html:151 # iterations done: 92000, average Reward: 0.235
train-brain-experiment-01a.html:151 # iterations done: 92400, average Reward: 0.2125
train-brain-experiment-01a.html:151 # iterations done: 92800, average Reward: 0.19
train-brain-experiment-01a.html:151 # iterations done: 93200, average Reward: 0.19
train-brain-experiment-01a.html:151 # iterations done: 93600, average Reward: 0.1975
train-brain-experiment-01a.html:151 # iterations done: 94000, average Reward: 0.25
train-brain-experiment-01a.html:151 # iterations done: 94400, average Reward: 0.1975
train-brain-experiment-01a.html:151 # iterations done: 94800, average Reward: 0.2425
train-brain-experiment-01a.html:151 # iterations done: 95200, average Reward: 0.175
train-brain-experiment-01a.html:151 # iterations done: 95600, average Reward: 0.235
train-brain-experiment-01a.html:151 # iterations done: 96000, average Reward: 0.28
train-brain-experiment-01a.html:151 # iterations done: 96400, average Reward: 0.0925
train-brain-experiment-01a.html:151 # iterations done: 96800, average Reward: 0.205
train-brain-experiment-01a.html:151 # iterations done: 97200, average Reward: 0.3325
train-brain-experiment-01a.html:151 # iterations done: 97600, average Reward: 0.355
train-brain-experiment-01a.html:151 # iterations done: 98000, average Reward: 0.235
train-brain-experiment-01a.html:151 # iterations done: 98400, average Reward: 0.325
train-brain-experiment-01a.html:151 # iterations done: 98800, average Reward: 0.2875
train-brain-experiment-01a.html:151 # iterations done: 99200, average Reward: 0.22
train-brain-experiment-01a.html:151 # iterations done: 99600, average Reward: 0.385
train-brain-experiment-01a.html:151 # iterations done: 100000, average Reward: 0.19
train-brain-experiment-01a.html:151 # iterations done: 100400, average Reward: 0.385
train-brain-experiment-01a.html:151 # iterations done: 100800, average Reward: 0.2725
train-brain-experiment-01a.html:151 # iterations done: 101200, average Reward: 0.175
train-brain-experiment-01a.html:151 # iterations done: 101600, average Reward: 0.2875
train-brain-experiment-01a.html:151 # iterations done: 102000, average Reward: 0.205
train-brain-experiment-01a.html:151 # iterations done: 102400, average Reward: 0.2875
train-brain-experiment-01a.html:151 # iterations done: 102800, average Reward: 0.3625
train-brain-experiment-01a.html:151 # iterations done: 103200, average Reward: 0.3025
train-brain-experiment-01a.html:151 # iterations done: 103600, average Reward: 0.3175
train-brain-experiment-01a.html:151 # iterations done: 104000, average Reward: 0.3775
train-brain-experiment-01a.html:151 # iterations done: 104400, average Reward: 0.28
train-brain-experiment-01a.html:151 # iterations done: 104800, average Reward: 0.3025
train-brain-experiment-01a.html:151 # iterations done: 105200, average Reward: 0.34
train-brain-experiment-01a.html:151 # iterations done: 105600, average Reward: 0.4
train-brain-experiment-01a.html:151 # iterations done: 106000, average Reward: 0.22
train-brain-experiment-01a.html:151 # iterations done: 106400, average Reward: 0.2275
train-brain-experiment-01a.html:151 # iterations done: 106800, average Reward: 0.295
train-brain-experiment-01a.html:151 # iterations done: 107200, average Reward: 0.3025
train-brain-experiment-01a.html:151 # iterations done: 107600, average Reward: 0.2575
train-brain-experiment-01a.html:151 # iterations done: 108000, average Reward: 0.34
train-brain-experiment-01a.html:151 # iterations done: 108400, average Reward: 0.3325
train-brain-experiment-01a.html:151 # iterations done: 108800, average Reward: 0.385
train-brain-experiment-01a.html:151 # iterations done: 109200, average Reward: 0.385
train-brain-experiment-01a.html:151 # iterations done: 109600, average Reward: 0.3625
train-brain-experiment-01a.html:151 # iterations done: 110000, average Reward: 0.355
train-brain-experiment-01a.html:151 # iterations done: 110400, average Reward: 0.34
train-brain-experiment-01a.html:151 # iterations done: 110800, average Reward: 0.415
train-brain-experiment-01a.html:151 # iterations done: 111200, average Reward: 0.3625
train-brain-experiment-01a.html:151 # iterations done: 111600, average Reward: 0.5125
train-brain-experiment-01a.html:151 # iterations done: 112000, average Reward: 0.325
train-brain-experiment-01a.html:151 # iterations done: 112400, average Reward: 0.415
train-brain-experiment-01a.html:151 # iterations done: 112800, average Reward: 0.295
train-brain-experiment-01a.html:151 # iterations done: 113200, average Reward: 0.325
train-brain-experiment-01a.html:151 # iterations done: 113600, average Reward: 0.3325
train-brain-experiment-01a.html:151 # iterations done: 114000, average Reward: 0.34
train-brain-experiment-01a.html:151 # iterations done: 114400, average Reward: 0.415
train-brain-experiment-01a.html:151 # iterations done: 114800, average Reward: 0.385
train-brain-experiment-01a.html:151 # iterations done: 115200, average Reward: 0.37
train-brain-experiment-01a.html:151 # iterations done: 115600, average Reward: 0.3925
train-brain-experiment-01a.html:151 # iterations done: 116000, average Reward: 0.4075
train-brain-experiment-01a.html:151 # iterations done: 116400, average Reward: 0.475
train-brain-experiment-01a.html:151 # iterations done: 116800, average Reward: 0.4225
train-brain-experiment-01a.html:151 # iterations done: 117200, average Reward: 0.37
train-brain-experiment-01a.html:151 # iterations done: 117600, average Reward: 0.445
train-brain-experiment-01a.html:151 # iterations done: 118000, average Reward: 0.445
train-brain-experiment-01a.html:151 # iterations done: 118400, average Reward: 0.3925
train-brain-experiment-01a.html:151 # iterations done: 118800, average Reward: 0.37
train-brain-experiment-01a.html:151 # iterations done: 119200, average Reward: 0.415
train-brain-experiment-01a.html:151 # iterations done: 119600, average Reward: 0.4
train-brain-experiment-01a.html:170 -------------------------------------------------------------------------------------
train-brain-experiment-01a.html:171 *** Average reward every 400 iterations for a total of 120000 iterations ***
train-brain-experiment-01a.html:172 -------------------------------------------------------------------------------------
train-brain-experiment-01a.html:177 iterations, average_reward
400,0.0025
800,-0.4025
1200,-0.5075
1600,-0.485
2000,-0.365
2400,-0.4475
2800,-0.3125
3200,-0.56
3600,-0.4475
4000,-0.335
4400,-0.5675
4800,-0.365
5200,-0.545
5600,-0.4925
6000,-0.485
6400,-0.455
6800,-0.4625
7200,-0.515
7600,-0.3425
8000,-0.38
8400,-0.395
8800,-0.32
9200,-0.35
9600,-0.32
10000,-0.4925
10400,-0.5075
10800,-0.335
11200,-0.395
11600,-0.4325
12000,-0.425
12400,-0.3575
12800,-0.275
13200,-0.32
13600,-0.32
14000,-0.365
14400,-0.41
14800,-0.32
15200,-0.3275
15600,-0.3875
16000,-0.4775
16400,-0.41
16800,-0.17
17200,-0.41
17600,-0.2975
18000,-0.29
18400,-0.305
18800,-0.4325
19200,-0.245
19600,-0.395
20000,-0.3275
20400,-0.2
20800,-0.2375
21200,-0.2525
21600,-0.245
22000,-0.2075
22400,-0.275
22800,-0.3125
23200,-0.26
23600,-0.395
24000,-0.29
24400,-0.305
24800,-0.275
25200,-0.215
25600,-0.3125
26000,-0.14
26400,-0.3425
26800,-0.365
27200,-0.185
27600,-0.2825
28000,-0.3125
28400,-0.215
28800,-0.2825
29200,-0.365
29600,-0.2225
30000,-0.185
30400,-0.2
30800,-0.2825
31200,-0.065
31600,-0.1775
32000,-0.26
32400,-0.1925
32800,-0.2525
33200,-0.29
33600,-0.215
34000,-0.335
34400,-0.2
34800,-0.125
35200,-0.2225
35600,-0.11
36000,-0.05
36400,-0.1325
36800,-0.395
37200,-0.1175
37600,-0.23
38000,-0.1925
38400,-0.1325
38800,-0.11
39200,-0.17
39600,-0.1475
40000,-0.08
40400,0.01
40800,-0.1025
41200,-0.1175
41600,-0.1625
42000,-0.1925
42400,-0.1475
42800,-0.1025
43200,-0.155
43600,-0.1475
44000,-0.1925
44400,-0.0275
44800,-0.185
45200,-0.1175
45600,-0.11
46000,-0.155
46400,-0.035
46800,-0.1325
47200,-0.185
47600,0.0325
48000,-0.0875
48400,-0.0575
48800,-0.02
49200,-0.0575
49600,-0.02
50000,-0.005
50400,-0.065
50800,-0.1625
51200,-0.1025
51600,-0.125
52000,-0.1325
52400,-0.14
52800,-0.0275
53200,-0.065
53600,-0.08
54000,-0.1175
54400,0.025
54800,0.0175
55200,0.0475
