train-brain-experiment-02.html:117 -----------------------------------------------------------------------
train-brain-experiment-02.html:118 *** Started Learning: upto max. average rewards reaches 0.9 ***
train-brain-experiment-02.html:119 -----------------------------------------------------------------------
train-brain-experiment-02.html:156 # iterations done: 126400, average Reward: 0.745
train-brain-experiment-02.html:156 # iterations done: 126800, average Reward: 0.6625
train-brain-experiment-02.html:156 # iterations done: 127200, average Reward: 0.7825
train-brain-experiment-02.html:156 # iterations done: 127600, average Reward: 0.655
train-brain-experiment-02.html:156 # iterations done: 128000, average Reward: 0.6925
train-brain-experiment-02.html:156 # iterations done: 128400, average Reward: 0.7
train-brain-experiment-02.html:156 # iterations done: 128800, average Reward: 0.67
train-brain-experiment-02.html:156 # iterations done: 129200, average Reward: 0.7375
train-brain-experiment-02.html:156 # iterations done: 129600, average Reward: 0.715
train-brain-experiment-02.html:156 # iterations done: 130000, average Reward: 0.6175
train-brain-experiment-02.html:156 # iterations done: 130400, average Reward: 0.7375
train-brain-experiment-02.html:156 # iterations done: 130800, average Reward: 0.73
train-brain-experiment-02.html:156 # iterations done: 131200, average Reward: 0.7225
train-brain-experiment-02.html:156 # iterations done: 131600, average Reward: 0.73
train-brain-experiment-02.html:156 # iterations done: 132000, average Reward: 0.7675
train-brain-experiment-02.html:156 # iterations done: 132400, average Reward: 0.79
train-brain-experiment-02.html:156 # iterations done: 132800, average Reward: 0.6925
train-brain-experiment-02.html:156 # iterations done: 133200, average Reward: 0.7075
train-brain-experiment-02.html:156 # iterations done: 133600, average Reward: 0.7975
train-brain-experiment-02.html:156 # iterations done: 134000, average Reward: 0.76
train-brain-experiment-02.html:156 # iterations done: 134400, average Reward: 0.7525
train-brain-experiment-02.html:156 # iterations done: 134800, average Reward: 0.745
train-brain-experiment-02.html:156 # iterations done: 135200, average Reward: 0.7375
train-brain-experiment-02.html:156 # iterations done: 135600, average Reward: 0.67
train-brain-experiment-02.html:156 # iterations done: 136000, average Reward: 0.745
train-brain-experiment-02.html:156 # iterations done: 136400, average Reward: 0.82
train-brain-experiment-02.html:156 # iterations done: 136800, average Reward: 0.76
train-brain-experiment-02.html:156 # iterations done: 137200, average Reward: 0.7675
train-brain-experiment-02.html:156 # iterations done: 137600, average Reward: 0.775
train-brain-experiment-02.html:156 # iterations done: 138000, average Reward: 0.7375
train-brain-experiment-02.html:156 # iterations done: 138400, average Reward: 0.7525
train-brain-experiment-02.html:156 # iterations done: 138800, average Reward: 0.7675
train-brain-experiment-02.html:156 # iterations done: 139200, average Reward: 0.7
train-brain-experiment-02.html:156 # iterations done: 139600, average Reward: 0.8275
train-brain-experiment-02.html:156 # iterations done: 140000, average Reward: 0.7825
train-brain-experiment-02.html:156 # iterations done: 140400, average Reward: 0.76
train-brain-experiment-02.html:156 # iterations done: 140800, average Reward: 0.835
train-brain-experiment-02.html:156 # iterations done: 141200, average Reward: 0.805
train-brain-experiment-02.html:156 # iterations done: 141600, average Reward: 0.745
train-brain-experiment-02.html:156 # iterations done: 142000, average Reward: 0.805
train-brain-experiment-02.html:156 # iterations done: 142400, average Reward: 0.8125
train-brain-experiment-02.html:156 # iterations done: 142800, average Reward: 0.7975
train-brain-experiment-02.html:156 # iterations done: 143200, average Reward: 0.805
train-brain-experiment-02.html:156 # iterations done: 143600, average Reward: 0.79
train-brain-experiment-02.html:156 # iterations done: 144000, average Reward: 0.805
train-brain-experiment-02.html:156 # iterations done: 144400, average Reward: 0.7975
train-brain-experiment-02.html:156 # iterations done: 144800, average Reward: 0.775
train-brain-experiment-02.html:156 # iterations done: 145200, average Reward: 0.7975
train-brain-experiment-02.html:156 # iterations done: 145600, average Reward: 0.745
train-brain-experiment-02.html:156 # iterations done: 146000, average Reward: 0.7675
train-brain-experiment-02.html:156 # iterations done: 146400, average Reward: 0.7975
train-brain-experiment-02.html:156 # iterations done: 146800, average Reward: 0.7675
train-brain-experiment-02.html:156 # iterations done: 147200, average Reward: 0.82
train-brain-experiment-02.html:156 # iterations done: 147600, average Reward: 0.8575
train-brain-experiment-02.html:156 # iterations done: 148000, average Reward: 0.8125
train-brain-experiment-02.html:156 # iterations done: 148400, average Reward: 0.805
train-brain-experiment-02.html:156 # iterations done: 148800, average Reward: 0.8125
train-brain-experiment-02.html:156 # iterations done: 149200, average Reward: 0.775
train-brain-experiment-02.html:156 # iterations done: 149600, average Reward: 0.7
train-brain-experiment-02.html:156 # iterations done: 150000, average Reward: 0.805
train-brain-experiment-02.html:156 # iterations done: 150400, average Reward: 0.85
train-brain-experiment-02.html:156 # iterations done: 150800, average Reward: 0.82
train-brain-experiment-02.html:156 # iterations done: 151200, average Reward: 0.7675
train-brain-experiment-02.html:156 # iterations done: 151600, average Reward: 0.88
train-brain-experiment-02.html:156 # iterations done: 152000, average Reward: 0.8425
train-brain-experiment-02.html:156 # iterations done: 152400, average Reward: 0.82
train-brain-experiment-02.html:156 # iterations done: 152800, average Reward: 0.8275
